,spotId,cellCount
961,X78x38,13
962,X60x64,12
963,X35x45,9
964,X29x55,7
965,X85x27,7
966,X93x37,11
967,X48x40,8
968,X88x66,14
969,X50x38,10
970,X24x46,12
971,X96x22,8
972,X12x58,11
973,X62x56,9
974,X73x57,11
975,X37x27,5
976,X44x28,9
977,X87x39,13
978,X99x39,14
979,X113x25,7
980,X102x52,11
981,X89x67,15
982,X66x40,11
983,X57x27,10
984,X9x49,9
985,X80x24,10
986,X51x59,6
987,X89x65,13
988,X80x18,9
989,X83x39,15
990,X104x58,14
991,X73x43,13
992,X27x41,7
993,X96x64,13
994,X81x59,11
995,X108x16,14
996,X20x52,13
997,X24x56,16
998,X54x50,14
999,X75x21,7
1000,X97x43,13
1001,X80x28,11
1002,X84x72,5
1003,X106x18,13
1004,X51x27,8
1005,X48x38,13
1006,X101x39,14
1007,X60x38,6
1008,X37x33,6
1009,X98x48,17
1010,X47x25,8
1011,X43x59,3
1012,X30x42,5
1013,X104x66,15
1014,X85x31,4
1015,X48x58,9
1016,X45x47,3
1017,X71x71,10
1018,X6x42,11
1019,X60x54,12
1020,X67x39,9
1021,X34x30,10
1022,X80x60,12
1023,X66x52,14
1024,X108x54,16
1025,X94x32,11
1026,X59x35,12
1027,X112x28,20
1028,X105x43,15
1029,X93x59,17
1030,X110x46,16
1031,X105x47,9
1032,X65x45,12
1033,X91x49,15
1034,X59x23,8
1035,X56x32,7
1036,X55x41,11
1037,X75x69,13
1038,X86x32,16
2559,X114x56,10
1039,X1x53,10
1040,X83x43,14
1041,X92x22,12
1042,X99x11,10
1043,X80x26,15
1044,X51x63,8
1045,X82x18,9
2560,X23x35,10
2561,X36x42,10
1046,X39x49,4
1047,X99x15,7
1048,X98x30,12
1049,X98x24,12
2562,X25x39,10
1050,X68x22,10
1051,X87x67,17
1052,X54x32,9
1053,X51x47,9
1054,X111x71,13
1055,X77x65,12
2563,X96x34,10
1056,X22x54,16
1057,X76x56,11
1058,X56x40,5
1059,X83x15,9
1060,X55x63,7
1061,X90x72,4
1062,X74x40,13
1063,X31x39,5
1064,X77x43,6
1065,X101x47,11
1066,X111x65,19
1067,X40x28,11
1068,X111x49,20
1069,X87x59,6
1070,X90x14,10
1071,X1x45,13
1072,X61x65,11
1073,X20x48,8
1074,X109x19,8
1075,X77x57,13
1076,X74x44,8
1077,X101x11,8
1078,X108x26,9
1079,X66x64,12
1080,X40x34,7
1081,X92x18,8
1082,X49x35,11
1083,X41x55,6
1084,X36x36,6
1085,X62x44,10
1086,X84x26,10
1087,X1x61,6
1088,X35x37,8
1089,X94x30,13
1090,X102x58,10
2564,X36x50,10
1091,X72x44,6
1092,X34x28,11
